Item,Price
Порох,"620
"
Портативная дубинка,"950
"
Посох сумрачного хаттлера,"8001
"
Прах,"82
"
Присоска,"60
"
Пристрелочный монокуляр,"9986
"
Прозрачные крылышки,"280
"
Проклятая кровь,"250
"
Пружинка,"3200
"
Пупырчатый мозг,"3330
"
Пучок синей шерсти,"30090
"
Пушинка Одуванчика,"280
"
Пыльца песчаной жужи,"105
"
Регулятор снегобея,"4499
"
Речная жемчужина,
Ржавая гайка,"12000
"
Ржавая пружина,"37777
"
Ржавый болт,"69995
"
Ржавый доспех,"1500
"
Рог Овна,"666
"
Рог слепой жужи,"77
"
Роговой шип,"4899
"
Розалия,"1077
"
Ройкин глаз,"8800
"
Росa,
Рубин,"4980
"
Сало,"989
"
Самоцветы,"4000
"
Сапфир,"5089
"
Сверкающая чешуйка,"100
"
Сверкающие елочные игрушки,
Северный мох,"120
"
Семена кленов,
Семена морошки,"7800
"
Сера,
Сердце Террана,"4990
"
Сердце стужи,"132000
"
Серпантинный жук,"499
"
Серый песок,"2899
"
Синий диск,"1290
"
Синий мох,"895
"
Синильник,"3445
"
Синяя поганка,"725
"
Скорлупа,"4900
"
Скорлупа Желудя,
Сладкие специи,"600
"
Слеза Ауры,"19987777
"
Слипшиеся ракушки,"14190
"
Слюда,"690
"
Слюна вальдерстая,"3600
"
Снежная пыль,
Сонные шары,
Сочная мякоть,"599
"
Старая кость,"299
"
Старая куртка Балдера,
Старинная монета,"1500
"
Старое письмо Балдера,
Стланик,"3000
"
Стланиковая шишка,"1000
"
Стрелки часов,"1700
"
Сухожилия бафомета,
Сухой лист,"20
"
Сырые семечки,"999
"
Твердый сплав,"6499
"
Терморегулятор,"437
"
Тигровый глаз,"5625
"
Титановая пластина,"1400
"
Титановые лезвия,"250
"
Ткань зомби,"14000
"
Токсичный гриб,"1000
"
Толстоцвет,"6080
"
Топаз,"3699
"
Тряпичная кукла,"2495
"
Тряпичное сердце,"600
"
Тыква,"1100
"
Тяжелая вода,"1479
"
Усики бзыкалки,"100
"
Усики слепой жужи,"400
"
Феромоновая пыльца,"777
"
Фрагмент адских поводьев,
Хабульский корунд,"5850
"
Хауловые ребрышки,
Хвост Металлера,"1180
"
Хвост скорпиона,"120
"
Хвостик ройки,"2485
"
Хвоя стланика,"785
"
Хитиновая пластина,"270
"
Хитиновая трубка,"2790
"
Хмель,"700
"
Хоботок гнусмаса,"2100
"
Холодный песок,"1000
"
Хрустящий стебель,"1000
"
Цветок Логруса,"2050
"
Цветы травы Джи,"800
"
Целебный мох,"570
"
Частица тьмы,"150
"
Челюсть крылозуба,"1900
"
Череп,"299
"
Череп огра,"1084
"
Черная жемчужина,"39000
"
Черная икра,"1500
"
Черная трава,"988
"
Черный коралл,"7499
"
Черный песок,"277
"
Шелковинка,
Шестеренка,"284
"
Шкура Хаула,
Шкура вальдерстая,"1800
"
Шкура волка,
Шкура гарма,"2200
"
Шкура голодного люпуса,
Шкура грибоедки,"14000
"
Шкура кабана,"400
"
Шкура нижада,"5895
"
Шкура оборотня,"100
"
Шкура саламандры,"6000
"
Шкура свирепого люпуса,"14000
"
Шляпка гриба,"2380
"
Шуруп,"3995
"
Шелковое сердце,"975
"
Щепка,
Эктоплазма,"1000000000
"
Элениумное сплетение,"4955
"
Эссенция вампирской крови,"599
"
Ягоды верляники,"500
"
Яд гадюки,"2000
"
Ядовитая железа,"50
"
Ядовитое перо,"2900
"
Язык гончей,"150000
"
Яйцо ройки,"600
"
Яйцо тортоллы,"2885
"
Янтарная смола,"90
"
Ячейки памяти,"800
"
