Item,Price
Шкура свирепого люпуса,"13000
"
Шляпка гриба,"2300
"
Шуруп,"2995
"
Шелковое сердце,"970
"
Щепка,
Эктоплазма,"900000000
"
Элениумное сплетение,"4955
"
Эссенция вампирской крови,"599
"
Ягоды верляники,"850
"
Яд гадюки,"2000
"
Ядовитая железа,"50
"
Ядовитое перо,"3246
"
Язык гончей,"109000
"
Яйцо ройки,"750
"
Яйцо тортоллы,"2800
"
Янтарная смола,"80
"
Ячейки памяти,"1195
"
