Item,Price
Шуруп,"2995
"
Шелковое сердце,"970
"
Щепка,
Эктоплазма,"900000000
"
Элениумное сплетение,"4401
"
Эссенция вампирской крови,"599
"
Ягоды верляники,"850
"
Яд гадюки,"2000
"
Ядовитая железа,"13
"
Ядовитое перо,"3245
"
Язык гончей,"79999
"
Яйцо ройки,"750
"
Яйцо тортоллы,"2800
"
Янтарная смола,"80
"
Ячейки памяти,"1200
"
